,PT,leading_time,wave_id,crest_depth,trough_depth_a,trough_depth_b,wave_height,wave_period,wave_steepness,wave_skewness,wave_kurtosis,ursell_number,mean_water_depth_gamma,trough_depth_gamma,crest_depth_gamma,wavenumber,angular_frequency,wavelenght,a,b,va,b0,mean_water_depth,Hrms,Hm0,Tm01,Tm02,broken,FID,location
9,007_UQ_RBR04,20180614:1130,9,0.6718,0.6153,0.5156,0.0565,7.5,0.003,-0.8421,-0.5657,88.3891,0.093,0.0918,0.0841,0.329,0.8378,19.0958,0.1467,0.8533,0.0896,0.6916,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
10,007_UQ_RBR04,20180614:1130,10,0.7574,0.515,0.5651,0.2424,7.5,0.012,0.2519,-0.5498,727.964,0.3857,0.4706,0.32,0.3102,0.8378,20.2557,0.1867,0.8133,0.101,0.8596,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
11,007_UQ_RBR04,20180614:1130,11,0.6379,0.5633,0.4587,0.0745,9.3,0.0032,0.3971,-1.0066,223.2775,0.1403,0.1323,0.1168,0.2715,0.6756,23.1446,0.2151,0.7849,0.0686,0.6766,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
12,007_UQ_RBR04,20180614:1130,12,0.7068,0.4584,0.5293,0.2484,8.6,0.011,-0.0965,0.3385,1305.0252,0.4289,0.5419,0.3514,0.2793,0.7306,22.4969,0.4419,0.5581,0.0822,1.0472,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
13,007_UQ_RBR04,20180614:1130,13,0.7981,0.5289,0.5088,0.2692,10.3,0.0094,0.7399,-0.516,1495.6078,0.4433,0.509,0.3373,0.2192,0.61,28.6697,0.0777,0.9223,0.0775,1.0235,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
14,007_UQ_RBR04,20180614:1130,14,0.7421,0.5081,0.4876,0.234,8.4,0.0104,0.3415,-0.9394,903.0797,0.3959,0.4605,0.3153,0.2792,0.748,22.501,0.1071,0.8929,0.0883,0.8779,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
15,007_UQ_RBR04,20180614:1130,15,0.7607,0.4862,0.4681,0.2746,10.6,0.0095,0.8282,-0.1913,1984.5745,0.4796,0.5647,0.3609,0.218,0.5928,28.8206,0.2736,0.7264,0.0718,1.1168,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
16,007_UQ_RBR04,20180614:1130,16,0.6704,0.467,0.4859,0.2034,2.4,0.0359,0.6045,-1.0744,64.2319,0.3713,0.4356,0.3034,1.1079,2.618,5.6712,0.375,0.625,0.2793,0.2011,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
17,007_UQ_RBR04,20180614:1130,17,0.7269,0.4848,0.5165,0.2421,12.9,0.007,0.9006,-0.0108,2505.1772,0.4273,0.4993,0.333,0.183,0.4871,34.3407,0.2636,0.7364,0.0563,1.0599,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
18,007_UQ_RBR04,20180614:1130,18,0.732,0.5163,0.5956,0.2157,3.1,0.0274,0.3946,-1.2304,97.2826,0.358,0.4177,0.2946,0.7974,2.0268,7.8797,0.6774,0.3226,0.2361,0.2715,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
19,007_UQ_RBR04,20180614:1130,19,0.619,0.5955,0.5473,0.0235,3.2,0.0031,-1.0701,0.1044,6.3794,0.0396,0.0395,0.038,0.8307,1.9635,7.5635,0.1875,0.8125,0.1934,0.1553,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
20,007_UQ_RBR04,20180614:1130,20,0.7222,0.5468,0.5016,0.1754,3,0.0232,0.4457,-1.1197,61.1691,0.2923,0.3207,0.2428,0.832,2.0944,7.5523,0.6,0.4,0.2407,0.3027,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
21,007_UQ_RBR04,20180614:1130,21,0.7448,0.4994,0.4602,0.2455,13.7,0.0066,0.7852,-0.402,2688.6163,0.4396,0.4916,0.3296,0.1701,0.4586,36.9281,0.1752,0.8248,0.0544,1.3541,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
22,007_UQ_RBR04,20180614:1130,22,0.7584,0.4601,0.4767,0.2983,7.6,0.0145,0.5919,-0.6808,1292.9012,0.5285,0.6484,0.3934,0.3058,0.8267,20.5434,0.1316,0.8684,0.0998,0.803,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
23,007_UQ_RBR04,20180614:1130,23,0.5941,0.4763,0.4342,0.1178,6.4,0.0077,1.0532,0.3051,255.0224,0.244,0.2473,0.1982,0.4107,0.9817,15.2975,0.1719,0.8281,0.0928,0.3136,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
24,007_UQ_RBR04,20180614:1130,24,0.6236,0.4338,0.5052,0.1898,4.7,0.0166,-0.6729,0.7115,302.2152,0.3484,0.4375,0.3043,0.5511,1.3368,11.4021,0.2128,0.7872,0.1327,0.5285,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
25,007_UQ_RBR04,20180614:1130,25,0.7522,0.5037,0.5931,0.2485,5.1,0.0183,-0.0226,-0.8046,358.7931,0.3941,0.4934,0.3304,0.4626,1.232,13.5827,0.2353,0.7647,0.1475,0.6554,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
26,007_UQ_RBR04,20180614:1130,26,0.6558,0.5919,0.4595,0.0639,9.2,0.0028,0.0861,-0.9548,166.0387,0.1151,0.108,0.0975,0.2707,0.683,23.2092,0.25,0.75,0.0713,0.8843,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
27,007_UQ_RBR04,20180614:1130,27,0.6825,0.4579,0.5225,0.2246,5.1,0.0173,-0.0799,-0.7528,392.8436,0.3884,0.4904,0.329,0.4848,1.232,12.9615,0.2353,0.7647,0.1338,0.6219,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
28,007_UQ_RBR04,20180614:1130,28,0.6861,0.5223,0.4782,0.1638,5.8,0.011,0.8501,0.7121,253.0149,0.2968,0.3135,0.2387,0.4234,1.0833,14.8387,0.1379,0.8621,0.1183,0.4321,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
29,007_UQ_RBR04,20180614:1130,29,0.7328,0.4779,0.4514,0.2549,8.9,0.0107,0.7089,-0.4004,1312.4657,0.4605,0.5333,0.3478,0.265,0.706,23.7107,0.1124,0.8876,0.0823,0.9168,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
30,007_UQ_RBR04,20180614:1130,30,0.7482,0.4501,0.5023,0.298,9.6,0.0115,0.3358,-0.7288,2185.6328,0.5089,0.6621,0.3984,0.243,0.6545,25.8617,0.3021,0.6979,0.0779,1.3124,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
31,007_UQ_RBR04,20180614:1130,31,0.6567,0.5022,0.5193,0.1545,3.3,0.0192,0.8692,-0.2866,78.7365,0.275,0.3076,0.2353,0.782,1.904,8.0345,0.3333,0.6667,0.199,0.202,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
32,007_UQ_RBR04,20180614:1130,32,0.7607,0.5154,0.4535,0.2453,10.3,0.0088,0.9095,-0.1228,1404.2895,0.428,0.4759,0.3225,0.2244,0.61,27.9972,0.2039,0.7961,0.0739,1.2409,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
33,007_UQ_RBR04,20180614:1130,33,0.6665,0.4514,0.483,0.2151,6.9,0.0123,0.3431,-0.6413,714.3139,0.3912,0.4766,0.3228,0.3596,0.9106,17.475,0.1304,0.8696,0.0966,0.6883,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
34,007_UQ_RBR04,20180614:1130,34,0.7414,0.4824,0.5158,0.259,3.3,0.0305,1.0438,-0.332,166.2543,0.4663,0.5368,0.3493,0.74,1.904,8.4902,0.7273,0.2727,0.2247,0.2461,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
35,007_UQ_RBR04,20180614:1130,35,0.5884,0.512,0.447,0.0764,10.4,0.0031,-0.8551,-0.0005,352.7424,0.1429,0.1492,0.1299,0.2524,0.6042,24.8903,0.4712,0.5288,0.0566,0.917,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
36,007_UQ_RBR04,20180614:1130,36,0.6614,0.4464,0.4561,0.215,2.6,0.0348,0.441,-1.3552,92.4435,0.4044,0.4816,0.325,1.0159,2.4166,6.1851,0.5385,0.4615,0.2544,0.2297,0.57,0.2,0.29,5.5,3.6,1,1,Seven_Mile_Beach_2018
37,007_UQ_RBR04,20180614:1130,37,0.6067,0.4558,0.5252,0.1509,3.4,0.0189,-0.7897,-0.5418,101.9508,0.276,0.331,0.2487,0.7854,1.848,8.0005,0.3824,0.6176,0.1784,0.3143,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
38,007_UQ_RBR04,20180614:1130,38,0.5989,0.5152,0.5159,0.0836,2.9,0.0125,0.8672,-0.616,27.3628,0.1535,0.1623,0.1396,0.9391,2.1666,6.6908,0.2759,0.7241,0.2065,0.0877,0.57,0.2,0.29,5.5,3.6,0,1,Seven_Mile_Beach_2018
0,010_UQ_RBR01,20180614:1135,0,1.0443,0.762,0.7482,0.2823,5.2,0.0174,0.8666,-0.4489,167.6426,0.3286,0.3705,0.2703,0.3876,1.2083,16.2085,0.2692,0.7308,0.2008,0.5869,0.91,0.36,0.49,4.5,3.5,1,2,Seven_Mile_Beach_2018
1,010_UQ_RBR01,20180614:1135,1,1.1338,0.7453,0.7752,0.3885,10.9,0.0108,0.3215,-0.698,1223.6791,0.4218,0.5212,0.3426,0.174,0.5764,36.1136,0.4587,0.5413,0.104,1.931,0.91,0.36,0.49,4.5,3.5,1,2,Seven_Mile_Beach_2018
2,010_UQ_RBR01,20180614:1135,2,1.3045,0.7732,0.8545,0.5313,4.6,0.0337,1.1246,-0.1318,285.8008,0.5728,0.6871,0.4073,0.3984,1.3659,15.7698,0.6304,0.3696,0.2836,0.7211,0.91,0.36,0.49,4.5,3.5,1,2,Seven_Mile_Beach_2018
3,010_UQ_RBR01,20180614:1135,3,1.0126,0.8544,0.7407,0.1582,7.1,0.0072,0.4136,0.0366,123.5732,0.1812,0.1852,0.1562,0.2847,0.885,22.0721,0.4225,0.5775,0.1426,0.9485,0.91,0.36,0.49,4.5,3.5,0,2,Seven_Mile_Beach_2018
4,010_UQ_RBR01,20180614:1135,4,1.3007,0.7403,0.8505,0.5603,5.5,0.0294,1.1955,0.7536,502.4407,0.605,0.7569,0.4308,0.3294,1.1424,19.0749,0.4545,0.5455,0.2365,1.0356,0.91,0.36,0.49,4.5,3.5,1,2,Seven_Mile_Beach_2018
5,010_UQ_RBR01,20180614:1135,5,1.0104,0.8493,0.7981,0.1611,5.3,0.0099,-0.1758,-1.2091,69.6818,0.1777,0.1897,0.1594,0.3859,1.1855,16.2799,0.2264,0.7736,0.1906,0.5829,0.91,0.36,0.49,4.5,3.5,1,2,Seven_Mile_Beach_2018
6,010_UQ_RBR01,20180614:1135,6,1.3492,0.7978,0.8584,0.5514,5.6,0.0279,1.4083,0.735,424.8351,0.5814,0.6911,0.4087,0.3177,1.122,19.7802,0.5357,0.4643,0.2409,0.8551,0.91,0.36,0.49,4.5,3.5,1,2,Seven_Mile_Beach_2018
